Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
BoldKey Login Page,Chrome 66.0.3359.139,,2018-05-22 14:29:17,2018-05-22 14:29:55,37.496s,ERROR
,,,,,,
Test Cases/Bold Key Login Page/Negative Case/Login Fail - Button 1,Chrome 66.0.3359.139,,2018-05-22 14:29:18,2018-05-22 14:29:32,14.471s,ERROR
Statement - If (openBrowser == false),Chrome 66.0.3359.139,,2018-05-22 14:29:19,2018-05-22 14:29:30,11.431s,PASSED
callTestCase,Chrome 66.0.3359.139,,2018-05-22 14:29:30,2018-05-22 14:29:31,1.065s,PASSED
Statement - switch (data_expectedresult.toString()),Chrome 66.0.3359.139,,2018-05-22 14:29:31,2018-05-22 14:29:32,1.212s,PASSED
,,,,,,
Test Cases/Bold Key Login Page/Negative Case/Login Fail - Button 1,Chrome 66.0.3359.139,,2018-05-22 14:29:32,2018-05-22 14:29:33,0.706s,ERROR
Statement - If (openBrowser == false),Chrome 66.0.3359.139,,2018-05-22 14:29:32,2018-05-22 14:29:32,0.001s,PASSED
callTestCase,Chrome 66.0.3359.139,,2018-05-22 14:29:32,2018-05-22 14:29:33,0.500s,PASSED
Statement - switch (data_expectedresult.toString()),Chrome 66.0.3359.139,,2018-05-22 14:29:33,2018-05-22 14:29:33,0.106s,PASSED
,,,,,,
Test Cases/Bold Key Login Page/Negative Case/Login Fail - Button 1,Chrome 66.0.3359.139,,2018-05-22 14:29:33,2018-05-22 14:29:34,0.900s,ERROR
Statement - If (openBrowser == false),Chrome 66.0.3359.139,,2018-05-22 14:29:33,2018-05-22 14:29:33,0.001s,PASSED
callTestCase,Chrome 66.0.3359.139,,2018-05-22 14:29:33,2018-05-22 14:29:34,0.684s,PASSED
Statement - switch (data_expectedresult.toString()),Chrome 66.0.3359.139,,2018-05-22 14:29:34,2018-05-22 14:29:34,0.088s,PASSED
,,,,,,
Test Cases/Bold Key Login Page/Negative Case/Login Fail - Button 1,Chrome 66.0.3359.139,,2018-05-22 14:29:34,2018-05-22 14:29:38,4.020s,PASSED
Statement - If (openBrowser == false),Chrome 66.0.3359.139,,2018-05-22 14:29:34,2018-05-22 14:29:34,0.001s,PASSED
callTestCase,Chrome 66.0.3359.139,,2018-05-22 14:29:34,2018-05-22 14:29:35,0.489s,PASSED
Statement - switch (data_expectedresult.toString()),Chrome 66.0.3359.139,,2018-05-22 14:29:35,2018-05-22 14:29:38,3.398s,PASSED
,,,,,,
Test Cases/Bold Key Login Page/Negative Case/Login Fail - Button 1,Chrome 66.0.3359.139,,2018-05-22 14:29:38,2018-05-22 14:29:47,9.038s,PASSED
Statement - If (openBrowser == false),Chrome 66.0.3359.139,,2018-05-22 14:29:38,2018-05-22 14:29:38,0.001s,PASSED
callTestCase,Chrome 66.0.3359.139,,2018-05-22 14:29:38,2018-05-22 14:29:39,0.549s,PASSED
Statement - switch (data_expectedresult.toString()),Chrome 66.0.3359.139,,2018-05-22 14:29:39,2018-05-22 14:29:47,8.371s,PASSED
,,,,,,
Test Cases/Bold Key Login Page/Negative Case/Login Fail - Button 1,Chrome 66.0.3359.139,,2018-05-22 14:29:47,2018-05-22 14:29:51,3.532s,PASSED
Statement - If (openBrowser == false),Chrome 66.0.3359.139,,2018-05-22 14:29:47,2018-05-22 14:29:47,0.003s,PASSED
callTestCase,Chrome 66.0.3359.139,,2018-05-22 14:29:47,2018-05-22 14:29:48,0.623s,PASSED
Statement - switch (data_expectedresult.toString()),Chrome 66.0.3359.139,,2018-05-22 14:29:48,2018-05-22 14:29:51,2.821s,PASSED
,,,,,,
Test Cases/Bold Key Login Page/Negative Case/Login Fail - Button 1,Chrome 66.0.3359.139,,2018-05-22 14:29:51,2018-05-22 14:29:54,3.435s,PASSED
Statement - If (openBrowser == false),Chrome 66.0.3359.139,,2018-05-22 14:29:51,2018-05-22 14:29:51,0.001s,PASSED
callTestCase,Chrome 66.0.3359.139,,2018-05-22 14:29:51,2018-05-22 14:29:51,0.515s,PASSED
Statement - switch (data_expectedresult.toString()),Chrome 66.0.3359.139,,2018-05-22 14:29:51,2018-05-22 14:29:54,2.832s,PASSED
