Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
BoldKey Login Page,Chrome 66.0.3359.139,,2018-05-24 13:59:46,2018-05-24 14:01:30,1m - 44.260s,PASSED
,,,,,,
Test Cases/Bold Key Login Page/Positive Case/Login Success - Button,Chrome 66.0.3359.139,,2018-05-24 13:59:47,2018-05-24 14:00:41,53.719s,PASSED
Statement - If (openBrowser == false),Chrome 66.0.3359.139,,2018-05-24 13:59:48,2018-05-24 14:00:14,26.084s,PASSED
callTestCase,Chrome 66.0.3359.139,,2018-05-24 14:00:14,2018-05-24 14:00:16,1.901s,PASSED
waitForElementVisible,Chrome 66.0.3359.139,,2018-05-24 14:00:16,2018-05-24 14:00:21,5.392s,PASSED
callTestCase,Chrome 66.0.3359.139,,2018-05-24 14:00:21,2018-05-24 14:00:41,19.261s,PASSED
,,,,,,
Test Cases/Bold Key Login Page/Negative Case/Login Fail - Button 1,Chrome 66.0.3359.139,,2018-05-24 14:00:41,2018-05-24 14:00:47,6.012s,PASSED
Statement - If (openBrowser == false),Chrome 66.0.3359.139,,2018-05-24 14:00:42,2018-05-24 14:00:42,0.004s,PASSED
callTestCase,Chrome 66.0.3359.139,,2018-05-24 14:00:42,2018-05-24 14:00:43,1.514s,PASSED
Statement - switch (data_expectedresult.toString()),Chrome 66.0.3359.139,,2018-05-24 14:00:43,2018-05-24 14:00:47,3.373s,PASSED
,,,,,,
Test Cases/Bold Key Login Page/Negative Case/Login Fail - Button 1,Chrome 66.0.3359.139,,2018-05-24 14:00:47,2018-05-24 14:00:51,4.296s,PASSED
Statement - If (openBrowser == false),Chrome 66.0.3359.139,,2018-05-24 14:00:47,2018-05-24 14:00:47,0.002s,PASSED
callTestCase,Chrome 66.0.3359.139,,2018-05-24 14:00:47,2018-05-24 14:00:48,1.123s,PASSED
Statement - switch (data_expectedresult.toString()),Chrome 66.0.3359.139,,2018-05-24 14:00:48,2018-05-24 14:00:51,2.890s,PASSED
,,,,,,
