Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
BoldKey Login Page,Chrome 66.0.3359.139,,2018-05-22 14:40:08,2018-05-22 14:40:55,47.538s,PASSED
,,,,,,
Test Cases/Bold Key Login Page/Negative Case/Login Fail - Button 1,Chrome 66.0.3359.139,,2018-05-22 14:40:08,2018-05-22 14:40:23,14.811s,PASSED
Statement - If (openBrowser == false),Chrome 66.0.3359.139,,2018-05-22 14:40:09,2018-05-22 14:40:21,11.886s,PASSED
callTestCase,Chrome 66.0.3359.139,,2018-05-22 14:40:21,2018-05-22 14:40:22,1.330s,PASSED
Statement - switch (data_expectedresult.toString()),Chrome 66.0.3359.139,,2018-05-22 14:40:22,2018-05-22 14:40:23,0.728s,PASSED
,,,,,,
Test Cases/Bold Key Login Page/Negative Case/Login Fail - Button 1,Chrome 66.0.3359.139,,2018-05-22 14:40:23,2018-05-22 14:40:24,0.726s,PASSED
Statement - If (openBrowser == false),Chrome 66.0.3359.139,,2018-05-22 14:40:23,2018-05-22 14:40:23,0.000s,PASSED
callTestCase,Chrome 66.0.3359.139,,2018-05-22 14:40:23,2018-05-22 14:40:24,0.498s,PASSED
Statement - switch (data_expectedresult.toString()),Chrome 66.0.3359.139,,2018-05-22 14:40:24,2018-05-22 14:40:24,0.111s,PASSED
,,,,,,
Test Cases/Bold Key Login Page/Negative Case/Login Fail - Button 1,Chrome 66.0.3359.139,,2018-05-22 14:40:24,2018-05-22 14:40:25,0.941s,PASSED
Statement - If (openBrowser == false),Chrome 66.0.3359.139,,2018-05-22 14:40:24,2018-05-22 14:40:24,0.001s,PASSED
callTestCase,Chrome 66.0.3359.139,,2018-05-22 14:40:24,2018-05-22 14:40:25,0.713s,PASSED
Statement - switch (data_expectedresult.toString()),Chrome 66.0.3359.139,,2018-05-22 14:40:25,2018-05-22 14:40:25,0.107s,PASSED
,,,,,,
Test Cases/Bold Key Login Page/Negative Case/Login Fail - Button 1,Chrome 66.0.3359.139,,2018-05-22 14:40:25,2018-05-22 14:40:28,3.280s,PASSED
Statement - If (openBrowser == false),Chrome 66.0.3359.139,,2018-05-22 14:40:25,2018-05-22 14:40:25,0.001s,PASSED
callTestCase,Chrome 66.0.3359.139,,2018-05-22 14:40:25,2018-05-22 14:40:25,0.423s,PASSED
Statement - switch (data_expectedresult.toString()),Chrome 66.0.3359.139,,2018-05-22 14:40:25,2018-05-22 14:40:28,2.723s,PASSED
,,,,,,
Test Cases/Bold Key Login Page/Negative Case/Login Fail - Button 1,Chrome 66.0.3359.139,,2018-05-22 14:40:28,2018-05-22 14:40:37,8.811s,PASSED
Statement - If (openBrowser == false),Chrome 66.0.3359.139,,2018-05-22 14:40:28,2018-05-22 14:40:28,0.001s,PASSED
callTestCase,Chrome 66.0.3359.139,,2018-05-22 14:40:28,2018-05-22 14:40:29,0.601s,PASSED
Statement - switch (data_expectedresult.toString()),Chrome 66.0.3359.139,,2018-05-22 14:40:29,2018-05-22 14:40:37,8.083s,PASSED
,,,,,,
Test Cases/Bold Key Login Page/Negative Case/Login Fail - Button 1,Chrome 66.0.3359.139,,2018-05-22 14:40:37,2018-05-22 14:40:40,3.325s,PASSED
Statement - If (openBrowser == false),Chrome 66.0.3359.139,,2018-05-22 14:40:37,2018-05-22 14:40:37,0.000s,PASSED
callTestCase,Chrome 66.0.3359.139,,2018-05-22 14:40:37,2018-05-22 14:40:37,0.582s,PASSED
Statement - switch (data_expectedresult.toString()),Chrome 66.0.3359.139,,2018-05-22 14:40:37,2018-05-22 14:40:40,2.655s,PASSED
,,,,,,
Test Cases/Bold Key Login Page/Negative Case/Login Fail - Button 1,Chrome 66.0.3359.139,,2018-05-22 14:40:40,2018-05-22 14:40:45,4.382s,PASSED
Statement - If (openBrowser == false),Chrome 66.0.3359.139,,2018-05-22 14:40:40,2018-05-22 14:40:40,0.001s,PASSED
callTestCase,Chrome 66.0.3359.139,,2018-05-22 14:40:40,2018-05-22 14:40:41,0.664s,PASSED
Statement - switch (data_expectedresult.toString()),Chrome 66.0.3359.139,,2018-05-22 14:40:41,2018-05-22 14:40:45,3.619s,PASSED
,,,,,,
Test Cases/Bold Key Login Page/Negative Case/Login Fail - Button 1,Chrome 66.0.3359.139,,2018-05-22 14:40:45,2018-05-22 14:40:49,4.662s,PASSED
Statement - If (openBrowser == false),Chrome 66.0.3359.139,,2018-05-22 14:40:45,2018-05-22 14:40:45,0.001s,PASSED
callTestCase,Chrome 66.0.3359.139,,2018-05-22 14:40:45,2018-05-22 14:40:46,0.843s,PASSED
Statement - switch (data_expectedresult.toString()),Chrome 66.0.3359.139,,2018-05-22 14:40:46,2018-05-22 14:40:49,3.694s,PASSED
,,,,,,
Test Cases/Bold Key Login Page/Negative Case/Login Fail - Button 1,Chrome 66.0.3359.139,,2018-05-22 14:40:49,2018-05-22 14:40:54,5.099s,PASSED
Statement - If (openBrowser == false),Chrome 66.0.3359.139,,2018-05-22 14:40:49,2018-05-22 14:40:49,0.001s,PASSED
callTestCase,Chrome 66.0.3359.139,,2018-05-22 14:40:49,2018-05-22 14:40:50,0.699s,PASSED
Statement - switch (data_expectedresult.toString()),Chrome 66.0.3359.139,,2018-05-22 14:40:50,2018-05-22 14:40:54,4.313s,PASSED
