Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Activity Module - Add one template,Chrome 67.0.3396.99,,2018-08-14 17:53:06,2018-08-14 17:53:57,50.840s,PASSED
,,,,,,
Test Cases/Boldkey Activity Module/Add Activity Page/Add new activity - Select consent,Chrome 67.0.3396.99,,2018-08-14 17:53:07,2018-08-14 17:53:48,41.873s,PASSED
callTestCase,Chrome 67.0.3396.99,,2018-08-14 17:53:07,2018-08-14 17:53:25,17.959s,PASSED
callTestCase,Chrome 67.0.3396.99,,2018-08-14 17:53:25,2018-08-14 17:53:28,3.119s,PASSED
click,Chrome 67.0.3396.99,,2018-08-14 17:53:28,2018-08-14 17:53:43,14.477s,PASSED
click,Chrome 67.0.3396.99,,2018-08-14 17:53:43,2018-08-14 17:53:43,0.624s,PASSED
setText,Chrome 67.0.3396.99,,2018-08-14 17:53:43,2018-08-14 17:53:44,0.574s,PASSED
setText,Chrome 67.0.3396.99,,2018-08-14 17:53:44,2018-08-14 17:53:45,0.484s,PASSED
delay,Chrome 67.0.3396.99,,2018-08-14 17:53:45,2018-08-14 17:53:47,2.003s,PASSED
"Statement - If (inputChannels.toLowerCase() == ""false"")",Chrome 67.0.3396.99,,2018-08-14 17:53:47,2018-08-14 17:53:47,0.002s,PASSED
"Statement - Else If (inputChannels.toLowerCase() == ""true"")",Chrome 67.0.3396.99,,2018-08-14 17:53:47,2018-08-14 17:53:47,0.257s,PASSED
click,Chrome 67.0.3396.99,,2018-08-14 17:53:47,2018-08-14 17:53:47,0.142s,PASSED
click,Chrome 67.0.3396.99,,2018-08-14 17:53:47,2018-08-14 17:53:48,1.516s,PASSED
,,,,,,
Test Cases/Boldkey Activity Module/Add Template Page/Add new template - One,Chrome 67.0.3396.99,,2018-08-14 17:53:48,2018-08-14 17:53:56,7.398s,PASSED
setText,Chrome 67.0.3396.99,,2018-08-14 17:53:49,2018-08-14 17:53:49,0.403s,PASSED
setText,Chrome 67.0.3396.99,,2018-08-14 17:53:49,2018-08-14 17:53:50,0.565s,PASSED
click,Chrome 67.0.3396.99,,2018-08-14 17:53:50,2018-08-14 17:53:50,0.124s,PASSED
click,Chrome 67.0.3396.99,,2018-08-14 17:53:50,2018-08-14 17:53:51,0.875s,PASSED
delay,Chrome 67.0.3396.99,,2018-08-14 17:53:51,2018-08-14 17:53:56,5.003s,PASSED
