Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Activity Module - Add one template,Chrome 67.0.3396.99,,2018-08-14 17:56:26,2018-08-14 17:57:46,1m - 19.917s,FAILED
,,,,,,
Test Cases/Boldkey Activity Module/Add Activity Page/Add new activity - Select consent,Chrome 67.0.3396.99,,2018-08-14 17:56:27,2018-08-14 17:57:10,42.947s,PASSED
callTestCase,Chrome 67.0.3396.99,,2018-08-14 17:56:28,2018-08-14 17:56:44,16.636s,PASSED
callTestCase,Chrome 67.0.3396.99,,2018-08-14 17:56:44,2018-08-14 17:56:48,3.616s,PASSED
click,Chrome 67.0.3396.99,,2018-08-14 17:56:48,2018-08-14 17:57:00,12.207s,PASSED
click,Chrome 67.0.3396.99,,2018-08-14 17:57:00,2018-08-14 17:57:01,0.576s,PASSED
setText,Chrome 67.0.3396.99,,2018-08-14 17:57:01,2018-08-14 17:57:01,0.475s,PASSED
setText,Chrome 67.0.3396.99,,2018-08-14 17:57:01,2018-08-14 17:57:01,0.354s,PASSED
delay,Chrome 67.0.3396.99,,2018-08-14 17:57:01,2018-08-14 17:57:03,2.002s,PASSED
"Statement - If (inputChannels.toLowerCase() == ""false"")",Chrome 67.0.3396.99,,2018-08-14 17:57:03,2018-08-14 17:57:03,0.003s,PASSED
"Statement - Else If (inputChannels.toLowerCase() == ""true"")",Chrome 67.0.3396.99,,2018-08-14 17:57:03,2018-08-14 17:57:04,0.223s,PASSED
click,Chrome 67.0.3396.99,,2018-08-14 17:57:04,2018-08-14 17:57:04,0.153s,PASSED
click,Chrome 67.0.3396.99,,2018-08-14 17:57:04,2018-08-14 17:57:10,6.097s,PASSED
,,,,,,
Test Cases/Boldkey Activity Module/Add Template Page/Add new template - One,Chrome 67.0.3396.99,,2018-08-14 17:57:10,2018-08-14 17:57:45,35.305s,FAILED
setText,Chrome 67.0.3396.99,,2018-08-14 17:57:10,2018-08-14 17:57:10,0.232s,PASSED
setText,Chrome 67.0.3396.99,,2018-08-14 17:57:10,2018-08-14 17:57:11,0.315s,PASSED
click,Chrome 67.0.3396.99,,2018-08-14 17:57:11,2018-08-14 17:57:14,3.402s,PASSED
click,Chrome 67.0.3396.99,,2018-08-14 17:57:14,2018-08-14 17:57:45,31.065s,FAILED
