Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
BoldKey Login Page,Chrome 66.0.3359.139,,2018-05-24 11:06:21,2018-05-24 11:07:50,1m - 28.571s,PASSED
,,,,,,
Test Cases/Bold Key Login Page/Positive Case/Login Success - Button,Chrome 66.0.3359.139,,2018-05-24 11:06:22,2018-05-24 11:07:01,38.697s,PASSED
Statement - If (openBrowser == false),Chrome 66.0.3359.139,,2018-05-24 11:06:24,2018-05-24 11:06:41,17.730s,PASSED
callTestCase,Chrome 66.0.3359.139,,2018-05-24 11:06:41,2018-05-24 11:06:43,1.822s,PASSED
waitForElementVisible,Chrome 66.0.3359.139,,2018-05-24 11:06:43,2018-05-24 11:06:58,14.374s,PASSED
callTestCase,Chrome 66.0.3359.139,,2018-05-24 11:06:58,2018-05-24 11:07:01,3.398s,PASSED
,,,,,,
Test Cases/Bold Key Login Page/Negative Case/Login Fail - Button 1,Chrome 66.0.3359.139,,2018-05-24 11:07:01,2018-05-24 11:07:07,5.523s,PASSED
Statement - If (openBrowser == false),Chrome 66.0.3359.139,,2018-05-24 11:07:02,2018-05-24 11:07:02,0.009s,PASSED
callTestCase,Chrome 66.0.3359.139,,2018-05-24 11:07:02,2018-05-24 11:07:03,1.331s,PASSED
Statement - switch (data_expectedresult.toString()),Chrome 66.0.3359.139,,2018-05-24 11:07:03,2018-05-24 11:07:07,3.246s,PASSED
,,,,,,
Test Cases/Bold Key Login Page/Negative Case/Login Fail - Button 1,Chrome 66.0.3359.139,,2018-05-24 11:07:07,2018-05-24 11:07:11,4.404s,PASSED
Statement - If (openBrowser == false),Chrome 66.0.3359.139,,2018-05-24 11:07:07,2018-05-24 11:07:07,0.001s,PASSED
callTestCase,Chrome 66.0.3359.139,,2018-05-24 11:07:07,2018-05-24 11:07:08,1.002s,PASSED
Statement - switch (data_expectedresult.toString()),Chrome 66.0.3359.139,,2018-05-24 11:07:08,2018-05-24 11:07:11,3.165s,PASSED
,,,,,,
