Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
BoldKey Login Page,Chrome 66.0.3359.139,,2018-05-18 18:27:32,2018-05-18 18:31:34,4m - 2.517s,FAILED
,,,,,,
Test Cases/Bold Key Login Page/Login Page - Enter,Chrome 66.0.3359.139,,2018-05-18 18:27:32,2018-05-18 18:27:52,19.794s,FAILED
openBrowser,Chrome 66.0.3359.139,,2018-05-18 18:27:33,2018-05-18 18:27:37,4.417s,PASSED
navigateToUrl,Chrome 66.0.3359.139,,2018-05-18 18:27:37,2018-05-18 18:27:52,14.474s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-18 18:27:52,2018-05-18 18:27:52,0.311s,FAILED
,,,,,,
Test Cases/Bold Key Login Page/Login Page - Enter,Chrome 66.0.3359.139,,2018-05-18 18:27:52,2018-05-18 18:28:08,15.578s,FAILED
openBrowser,Chrome 66.0.3359.139,,2018-05-18 18:27:52,2018-05-18 18:27:55,2.758s,PASSED
navigateToUrl,Chrome 66.0.3359.139,,2018-05-18 18:27:55,2018-05-18 18:28:07,12.508s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-18 18:28:07,2018-05-18 18:28:08,0.288s,FAILED
,,,,,,
Test Cases/Bold Key Login Page/Login Page - Enter,Chrome 66.0.3359.139,,2018-05-18 18:28:08,2018-05-18 18:28:24,16.207s,FAILED
openBrowser,Chrome 66.0.3359.139,,2018-05-18 18:28:08,2018-05-18 18:28:10,2.860s,PASSED
navigateToUrl,Chrome 66.0.3359.139,,2018-05-18 18:28:10,2018-05-18 18:28:24,13.048s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-18 18:28:24,2018-05-18 18:28:24,0.266s,FAILED
,,,,,,
Test Cases/Bold Key Login Page/Login Page - Enter,Chrome 66.0.3359.139,,2018-05-18 18:28:24,2018-05-18 18:28:41,17.044s,FAILED
openBrowser,Chrome 66.0.3359.139,,2018-05-18 18:28:24,2018-05-18 18:28:27,2.869s,PASSED
navigateToUrl,Chrome 66.0.3359.139,,2018-05-18 18:28:27,2018-05-18 18:28:41,13.875s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-18 18:28:41,2018-05-18 18:28:41,0.267s,FAILED
,,,,,,
Test Cases/Bold Key Login Page/Login Page - Enter,Chrome 66.0.3359.139,,2018-05-18 18:28:41,2018-05-18 18:28:58,17.572s,FAILED
openBrowser,Chrome 66.0.3359.139,,2018-05-18 18:28:41,2018-05-18 18:28:44,2.842s,PASSED
navigateToUrl,Chrome 66.0.3359.139,,2018-05-18 18:28:44,2018-05-18 18:28:58,14.442s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-18 18:28:58,2018-05-18 18:28:58,0.272s,FAILED
,,,,,,
Test Cases/Bold Key Login Page/Login Page - Enter,Chrome 66.0.3359.139,,2018-05-18 18:28:58,2018-05-18 18:29:13,15.044s,FAILED
openBrowser,Chrome 66.0.3359.139,,2018-05-18 18:28:58,2018-05-18 18:29:01,2.885s,PASSED
navigateToUrl,Chrome 66.0.3359.139,,2018-05-18 18:29:01,2018-05-18 18:29:13,11.888s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-18 18:29:13,2018-05-18 18:29:13,0.253s,FAILED
,,,,,,
Test Cases/Bold Key Login Page/Login Page - Button,Chrome 66.0.3359.139,Login by clicking login button.,2018-05-18 18:29:13,2018-05-18 18:29:30,16.791s,FAILED
openBrowser,Chrome 66.0.3359.139,,2018-05-18 18:29:14,2018-05-18 18:29:17,2.836s,PASSED
navigateToUrl,Chrome 66.0.3359.139,,2018-05-18 18:29:17,2018-05-18 18:29:29,12.089s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-18 18:29:29,2018-05-18 18:29:29,0.326s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-18 18:29:29,2018-05-18 18:29:29,0.238s,PASSED
click,Chrome 66.0.3359.139,,2018-05-18 18:29:29,2018-05-18 18:29:30,0.240s,PASSED
verifyTextPresent,Chrome 66.0.3359.139,,2018-05-18 18:29:30,2018-05-18 18:29:30,0.688s,FAILED
,,,,,,
Test Cases/Bold Key Login Page/Login Page - Button,Chrome 66.0.3359.139,Login by clicking login button.,2018-05-18 18:29:30,2018-05-18 18:29:49,18.831s,FAILED
openBrowser,Chrome 66.0.3359.139,,2018-05-18 18:29:30,2018-05-18 18:29:33,2.860s,PASSED
navigateToUrl,Chrome 66.0.3359.139,,2018-05-18 18:29:33,2018-05-18 18:29:48,14.934s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-18 18:29:48,2018-05-18 18:29:48,0.242s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-18 18:29:48,2018-05-18 18:29:48,0.184s,PASSED
click,Chrome 66.0.3359.139,,2018-05-18 18:29:48,2018-05-18 18:29:49,0.135s,PASSED
verifyTextPresent,Chrome 66.0.3359.139,,2018-05-18 18:29:49,2018-05-18 18:29:49,0.458s,FAILED
,,,,,,
Test Cases/Bold Key Login Page/Login Page - Button,Chrome 66.0.3359.139,Login by clicking login button.,2018-05-18 18:29:49,2018-05-18 18:30:05,16.378s,FAILED
openBrowser,Chrome 66.0.3359.139,,2018-05-18 18:29:49,2018-05-18 18:29:52,2.849s,PASSED
navigateToUrl,Chrome 66.0.3359.139,,2018-05-18 18:29:52,2018-05-18 18:30:05,12.917s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-18 18:30:05,2018-05-18 18:30:05,0.593s,FAILED
,,,,,,
Test Cases/Bold Key Login Page/Login Page - Button,Chrome 66.0.3359.139,Login by clicking login button.,2018-05-18 18:30:05,2018-05-18 18:30:27,21.880s,FAILED
openBrowser,Chrome 66.0.3359.139,,2018-05-18 18:30:05,2018-05-18 18:30:08,2.767s,PASSED
navigateToUrl,Chrome 66.0.3359.139,,2018-05-18 18:30:08,2018-05-18 18:30:21,13.198s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-18 18:30:21,2018-05-18 18:30:22,0.118s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-18 18:30:22,2018-05-18 18:30:22,0.155s,PASSED
click,Chrome 66.0.3359.139,,2018-05-18 18:30:22,2018-05-18 18:30:27,5.104s,PASSED
