Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
BoldKey Login Page,Chrome 66.0.3359.139,,2018-05-22 17:53:36,2018-05-22 17:54:41,1m - 5.100s,PASSED
,,,,,,
Test Cases/Bold Key Login Page/Negative Case/Login Fail - Button 1,Chrome 66.0.3359.139,,2018-05-22 17:53:36,2018-05-22 17:54:01,24.844s,PASSED
Statement - If (openBrowser == false),Chrome 66.0.3359.139,,2018-05-22 17:53:37,2018-05-22 17:53:53,16.621s,PASSED
callTestCase,Chrome 66.0.3359.139,,2018-05-22 17:53:53,2018-05-22 17:53:54,1.035s,PASSED
Statement - switch (data_expectedresult.toString()),Chrome 66.0.3359.139,,2018-05-22 17:53:54,2018-05-22 17:54:01,6.414s,PASSED
,,,,,,
Test Cases/Bold Key Login Page/Negative Case/Login Fail - Button 1,Chrome 66.0.3359.139,,2018-05-22 17:54:01,2018-05-22 17:54:06,4.988s,PASSED
Statement - If (openBrowser == false),Chrome 66.0.3359.139,,2018-05-22 17:54:01,2018-05-22 17:54:01,0.001s,PASSED
callTestCase,Chrome 66.0.3359.139,,2018-05-22 17:54:01,2018-05-22 17:54:02,0.723s,PASSED
Statement - switch (data_expectedresult.toString()),Chrome 66.0.3359.139,,2018-05-22 17:54:02,2018-05-22 17:54:06,4.100s,PASSED
,,,,,,
Test Cases/Bold Key Login Page/Negative Case/Login Fail - Button 1,Chrome 66.0.3359.139,,2018-05-22 17:54:06,2018-05-22 17:54:10,4.118s,PASSED
Statement - If (openBrowser == false),Chrome 66.0.3359.139,,2018-05-22 17:54:06,2018-05-22 17:54:06,0.001s,PASSED
callTestCase,Chrome 66.0.3359.139,,2018-05-22 17:54:06,2018-05-22 17:54:07,0.657s,PASSED
Statement - switch (data_expectedresult.toString()),Chrome 66.0.3359.139,,2018-05-22 17:54:07,2018-05-22 17:54:10,3.243s,PASSED
,,,,,,
Test Cases/Bold Key Login Page/Negative Case/Login Fail - Button 1,Chrome 66.0.3359.139,,2018-05-22 17:54:10,2018-05-22 17:54:14,3.552s,PASSED
Statement - If (openBrowser == false),Chrome 66.0.3359.139,,2018-05-22 17:54:10,2018-05-22 17:54:10,0.001s,PASSED
callTestCase,Chrome 66.0.3359.139,,2018-05-22 17:54:10,2018-05-22 17:54:11,0.537s,PASSED
Statement - switch (data_expectedresult.toString()),Chrome 66.0.3359.139,,2018-05-22 17:54:11,2018-05-22 17:54:14,2.845s,PASSED
,,,,,,
Test Cases/Bold Key Login Page/Negative Case/Login Fail - Button 1,Chrome 66.0.3359.139,,2018-05-22 17:54:14,2018-05-22 17:54:22,8.520s,PASSED
Statement - If (openBrowser == false),Chrome 66.0.3359.139,,2018-05-22 17:54:14,2018-05-22 17:54:14,0.004s,PASSED
callTestCase,Chrome 66.0.3359.139,,2018-05-22 17:54:14,2018-05-22 17:54:14,0.531s,PASSED
Statement - switch (data_expectedresult.toString()),Chrome 66.0.3359.139,,2018-05-22 17:54:14,2018-05-22 17:54:22,7.887s,PASSED
,,,,,,
Test Cases/Bold Key Login Page/Negative Case/Login Fail - Button 1,Chrome 66.0.3359.139,,2018-05-22 17:54:22,2018-05-22 17:54:25,3.295s,PASSED
Statement - If (openBrowser == false),Chrome 66.0.3359.139,,2018-05-22 17:54:22,2018-05-22 17:54:22,0.000s,PASSED
callTestCase,Chrome 66.0.3359.139,,2018-05-22 17:54:22,2018-05-22 17:54:23,0.493s,PASSED
Statement - switch (data_expectedresult.toString()),Chrome 66.0.3359.139,,2018-05-22 17:54:23,2018-05-22 17:54:25,2.709s,PASSED
,,,,,,
Test Cases/Bold Key Login Page/Negative Case/Login Fail - Button 1,Chrome 66.0.3359.139,,2018-05-22 17:54:25,2018-05-22 17:54:30,4.929s,PASSED
Statement - If (openBrowser == false),Chrome 66.0.3359.139,,2018-05-22 17:54:25,2018-05-22 17:54:25,0.000s,PASSED
callTestCase,Chrome 66.0.3359.139,,2018-05-22 17:54:25,2018-05-22 17:54:26,0.647s,PASSED
Statement - switch (data_expectedresult.toString()),Chrome 66.0.3359.139,,2018-05-22 17:54:26,2018-05-22 17:54:30,4.179s,PASSED
,,,,,,
Test Cases/Bold Key Login Page/Negative Case/Login Fail - Button 1,Chrome 66.0.3359.139,,2018-05-22 17:54:30,2018-05-22 17:54:35,5.048s,PASSED
Statement - If (openBrowser == false),Chrome 66.0.3359.139,,2018-05-22 17:54:30,2018-05-22 17:54:30,0.000s,PASSED
callTestCase,Chrome 66.0.3359.139,,2018-05-22 17:54:30,2018-05-22 17:54:31,0.587s,PASSED
Statement - switch (data_expectedresult.toString()),Chrome 66.0.3359.139,,2018-05-22 17:54:31,2018-05-22 17:54:35,4.343s,PASSED
,,,,,,
Test Cases/Bold Key Login Page/Negative Case/Login Fail - Button 1,Chrome 66.0.3359.139,,2018-05-22 17:54:35,2018-05-22 17:54:40,4.516s,PASSED
Statement - If (openBrowser == false),Chrome 66.0.3359.139,,2018-05-22 17:54:35,2018-05-22 17:54:35,0.000s,PASSED
callTestCase,Chrome 66.0.3359.139,,2018-05-22 17:54:35,2018-05-22 17:54:36,0.610s,PASSED
Statement - switch (data_expectedresult.toString()),Chrome 66.0.3359.139,,2018-05-22 17:54:36,2018-05-22 17:54:40,3.824s,PASSED
